institution_name,id,url,institution_code_number,institution_type,beginning_of_activity,state,address,post_code,place,headquarters_name,headquarters_address,post_code,city,country,subscribed_capital,paid_up_capital,related_decisions,published_accounts
"BNP PARIBAS SECURITIES SERVICES",8644,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8644",9137,"Free Provision of Services by EU Credit Institutions",1993-08-05,"Active",,,,,,,,"França",,,,
"LANDESBANK HESSEN-THÜRINGEN GIROZENTRALE",8922,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8922",9403,"Free Provision of Services by EU Credit Institutions",2005-11-10,"Active",,,,,,,,"Alemanha",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE AZAMBUJA, CRL",9765,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9765",5070,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1927-12-13,"Active","RUA ENG. MONIZ DA MAIA, 57-A","2050-354 AZAMBUJA","AZAMBUJA",,,"2050-354 AZAMBUJA",,,5435210.00,5435210.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+AZAMBUJA%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+AZAMBUJA%2c+CRL"
"FOREIGN AND COLONIAL MANAGEMENT LTD",8577,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8577",9067,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"FAST ENCASH MONEY TRANSFER SERVICES LTD",10140,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10140",9813,"Free Provision of Services by EU Payment Institutions",,"Active",,,,,,,,"Reino Unido",,,,
"BANQUE ARTESIA NEDERLAND N.V.",8834,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8834",9321,"Free Provision of Services by EU Credit Institutions",2002-10-14,"Active",,,,,,,,"Holanda",,,,
"CAPITAL CÂMBIOS - AGÊNCIA DE CÂMBIOS, SA",8837,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8837",505,"Exchange Offices",1995-10-02,"Active","RUA DA TRINDADE, 10","5400-554 CHAVES","CHAVES",,,"5400-554 CHAVES",,,150000.00,150000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAPITAL+C%c3%82MBIOS+-+AG%c3%8aNCIA+DE+C%c3%82MBIOS%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAPITAL+C%c3%82MBIOS+-+AG%c3%8aNCIA+DE+C%c3%82MBIOS%2c+SA"
"BANAMEX INVESTMENT BANK PLC",8655,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8655",9148,"Free Provision of Services by EU Credit Institutions",1996-01-24,"Active",,,,,,,,"Reino Unido",,,,
"LANDESBANK SAAR",8918,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8918",9399,"Free Provision of Services by EU Credit Institutions",2005-09-27,"Active",,,,,,,,"Alemanha",,,,
"FE & ZE MONEY TRANSFER, ENTIDAD DE PAGO, SA",9911,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9911",8898,"Free Provision of Services by EU Payment Institutions",2013-04-24,"Active",,,,,,,,"Espanha",,,,
